project_id,window_id,from_tag,to_tag,ancestry_status,eligible_for_baseline_poc,human_developers,zero_churn_human_developers,recomputed_total_commits,frozen_total_commits,recomputed_total_added,frozen_total_added,recomputed_total_deleted,frozen_total_deleted,recomputed_total_churn,frozen_total_churn,recomputed_top1_share_churn_12dp,frozen_top1_share_churn_6dp,recomputed_gini_churn_12dp,frozen_gini_churn_6dp,c1_top1_share_churn_6dp,c1_gini_churn_6dp,sum_exact_shares_12dp,sum_metric_value_ppm,ppm_sum_deviation_from_scale,developer_rows_valid,totals_match,ownership_summary_matches,c1_source_values_match,window_metadata_match,window_validation_status
junit5,junit5_W02,r5.14.1,r6.0.1,non_ancestral,false,20,0,671,671,27483,27483,23189,23189,50672,50672,0.752999684244,0.753000,0.893730265235,0.893730,0.753000,0.893730,1.000000000000,1000000,0,true,true,true,true,true,pass
junit5,junit5_W03,r6.0.1,r5.14.2,non_ancestral,false,12,0,285,285,132885,132885,129007,129007,261892,261892,0.976119927298,0.976120,0.909612868409,0.909613,0.976120,0.909613,1.000000000000,1000001,1,true,true,true,true,true,pass
junit5,junit5_W04,r5.14.2,r6.0.2,non_ancestral,false,21,0,805,805,154201,154201,148865,148865,303066,303066,0.942088521972,0.942089,0.937877746573,0.937878,0.942089,0.937878,1.000000000000,999999,-1,true,true,true,true,true,pass
junit5,junit5_W05,r6.0.2,r5.14.3,non_ancestral,false,13,0,295,295,133017,133017,129071,129071,262088,262088,0.975515857269,0.975516,0.916177889752,0.916178,0.975516,0.916178,1.000000000000,999998,-2,true,true,true,true,true,pass
junit5,junit5_W06,r5.14.3,r6.0.3,non_ancestral,false,21,0,816,816,154492,154492,148955,148955,303447,303447,0.941090206857,0.941090,0.937563584886,0.937564,0.941090,0.937564,1.000000000000,999998,-2,true,true,true,true,true,pass
junit5,junit5_W07,r6.0.3,r5.14.4,non_ancestral,false,16,0,309,309,133247,133247,129176,129176,262423,262423,0.974461080012,0.974461,0.931143849815,0.931144,0.974461,0.931144,1.000000000000,1000001,1,true,true,true,true,true,pass
prettier,prettier_W01,3.7.1,3.7.2,ancestral,true,6,0,12,12,796,796,198,198,994,994,0.724346076459,0.724346,0.670690811536,0.670691,0.724346,0.670691,1.000000000000,1000001,1,true,true,true,true,true,pass
prettier,prettier_W02,3.7.2,3.7.3,ancestral,true,2,0,7,7,259,259,85,85,344,344,0.502906976744,0.502907,0.002906976744,0.002907,0.502907,0.002907,1.000000000000,1000000,0,true,true,true,true,true,pass
prettier,prettier_W03,3.7.3,3.7.4,ancestral,true,2,0,16,16,2284,2284,1528,1528,3812,3812,0.971143756558,0.971144,0.471143756558,0.471144,0.971144,0.471144,1.000000000000,1000000,0,true,true,true,true,true,pass
prettier,prettier_W04,3.7.4,3.8.0,ancestral,true,2,0,19,19,1186,1186,261,261,1447,1447,0.841741534209,0.841742,0.341741534209,0.341742,0.841742,0.341742,1.000000000000,1000000,0,true,true,true,true,true,pass
prettier,prettier_W05,3.8.0,3.8.1,non_ancestral,false,2,0,9,9,398,398,277,277,675,675,0.905185185185,0.905185,0.405185185185,0.405185,0.905185,0.405185,1.000000000000,1000000,0,true,true,true,true,true,pass
prettier,prettier_W06,3.8.1,3.8.2,ancestral,true,1,0,5,5,352,352,63,63,415,415,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
prettier,prettier_W07,3.8.2,3.8.3,ancestral,true,2,0,8,8,262,262,168,168,430,430,0.865116279070,0.865116,0.365116279070,0.365116,0.865116,0.365116,1.000000000000,1000000,0,true,true,true,true,true,pass
requests,requests_W01,v2.30.0,v2.31.0,ancestral,true,3,0,5,5,59,59,11,11,70,70,0.785714285714,0.785714,0.504761904762,0.504762,0.785714,0.504762,1.000000000000,999999,-1,true,true,true,true,true,pass
requests,requests_W02,v2.31.0,v2.32.0,ancestral,true,30,0,69,69,1324,1324,271,271,1595,1595,0.544200626959,0.544201,0.830909090909,0.830909,0.544201,0.830909,1.000000000000,1000002,2,true,true,true,true,true,pass
requests,requests_W03,v2.32.0,v2.32.1,ancestral,true,1,0,1,1,10,10,2,2,12,12,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
requests,requests_W04,v2.32.1,v2.32.2,ancestral,true,1,0,3,3,47,47,8,8,55,55,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
requests,requests_W05,v2.32.2,v2.32.3,ancestral,true,2,0,5,5,109,109,22,22,131,131,0.648854961832,0.648855,0.148854961832,0.148855,0.648855,0.148855,1.000000000000,1000000,0,true,true,true,true,true,pass
requests,requests_W06,v2.32.3,v2.32.4,ancestral,true,15,0,33,33,519,519,519,519,1038,1038,0.534682080925,0.534682,0.724598587026,0.724599,0.534682,0.724599,1.000000000000,999998,-2,true,true,true,true,true,pass
requests,requests_W07,v2.32.4,v2.32.5,ancestral,true,7,0,9,9,148,148,66,66,214,214,0.476635514019,0.476636,0.646194926569,0.646195,0.476636,0.646195,1.000000000000,1000001,1,true,true,true,true,true,pass
tokio,tokio_W01,tokio-1.47.3,tokio-1.49.0,ancestral,true,69,0,160,160,15627,15627,5938,5938,21565,21565,0.312636216091,0.312636,0.849464208309,0.849464,0.312636,0.849464,1.000000000000,1000000,0,true,true,true,true,true,pass
tokio,tokio_W02,tokio-1.49.0,tokio-1.50.0,ancestral,true,33,0,66,66,2486,2486,609,609,3095,3095,0.168012924071,0.168013,0.644225779605,0.644226,0.168013,0.644226,1.000000000000,1000001,1,true,true,true,true,true,pass
tokio,tokio_W03,tokio-1.50.0,tokio-1.47.4,non_ancestral,false,2,0,2,2,44,44,16,16,60,60,0.633333333333,0.633333,0.133333333333,0.133333,0.633333,0.133333,1.000000000000,1000000,0,true,true,true,true,true,pass
tokio,tokio_W04,tokio-1.47.4,tokio-1.51.0,ancestral,true,106,0,249,249,19977,19977,6854,6854,26831,26831,0.251276508516,0.251277,0.835131216145,0.835131,0.251277,0.835131,1.000000000000,1000005,5,true,true,true,true,true,pass
tokio,tokio_W05,tokio-1.51.0,tokio-1.51.1,ancestral,true,4,0,7,7,449,449,27,27,476,476,0.682773109244,0.682773,0.471638655462,0.471639,0.682773,0.471639,1.000000000000,999999,-1,true,true,true,true,true,pass
tokio,tokio_W06,tokio-1.51.1,tokio-1.52.0,ancestral,true,11,0,15,15,2234,2234,450,450,2684,2684,0.300298062593,0.300298,0.553786749763,0.553787,0.300298,0.553787,1.000000000000,1000000,0,true,true,true,true,true,pass
tokio,tokio_W07,tokio-1.52.0,tokio-1.52.1,ancestral,true,4,0,6,6,301,301,484,484,785,785,0.619108280255,0.619108,0.458917197452,0.458917,0.619108,0.458917,1.000000000000,999999,-1,true,true,true,true,true,pass
urllib3,urllib3_W01,2.2.3,2.3.0,ancestral,true,10,0,25,25,1475,1475,583,583,2058,2058,0.583576287658,0.583576,0.763751214772,0.763751,0.583576,0.763751,1.000000000000,1000000,0,true,true,true,true,true,pass
urllib3,urllib3_W02,2.3.0,2.4.0,ancestral,true,10,0,22,22,2653,2653,381,381,3034,3034,0.879037574160,0.879038,0.839881344759,0.839881,0.879038,0.839881,1.000000000000,1000000,0,true,true,true,true,true,pass
urllib3,urllib3_W03,2.4.0,2.5.0,ancestral,true,9,0,14,14,703,703,355,355,1058,1058,0.307183364839,0.307183,0.572778827977,0.572779,0.307183,0.572779,1.000000000000,999999,-1,true,true,true,true,true,pass
urllib3,urllib3_W04,2.5.0,2.6.0,ancestral,true,16,0,38,38,3503,3503,2341,2341,5844,5844,0.367727583847,0.367728,0.791923340178,0.791923,0.367728,0.791923,1.000000000000,999999,-1,true,true,true,true,true,pass
urllib3,urllib3_W05,2.6.0,2.6.1,ancestral,true,1,0,2,2,24,24,6,6,30,30,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
urllib3,urllib3_W06,2.6.1,2.6.2,ancestral,true,1,0,2,2,59,59,6,6,65,65,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
urllib3,urllib3_W07,2.6.2,2.6.3,ancestral,true,4,0,8,8,224,224,95,95,319,319,0.730407523511,0.730408,0.503918495298,0.503918,0.730408,0.503918,1.000000000000,1000001,1,true,true,true,true,true,pass
