"project_id","tag_name","commit_hash","tag_date","total_lines","blank_lines","comment_lines","code_lines"
"flask","3.1.1","7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1","2025-05-13 07:53:02 -0700","17855","4104","800","12951"
"flask","3.1.2","2c1b30d0503cfb064f1cb252e6614a06915a362a","2025-08-19 13:57:58 -0700","17874","4112","803","12959"
"flask","3.1.3","22d924701a6ae2e4cd01e9a15bbaf3946094af65","2026-02-18 20:56:48 -0800","17889","4114","798","12977"
"gin","v1.8.1","ed049dd850fb09f93c6993c829744997269a35b5","2022-06-06 21:01:40 +0800","17970","2714","1746","13510"
"gin","v1.8.2","6a2a26093d046d8ea92542a0fb38721c4ee40bd5","2022-12-22 21:39:25 +0800","18019","2721","1747","13551"
"gin","v1.9.0","ea03e10384502e1baf6f560a2b0ea32c342ede5b","2023-02-21 17:20:32 +0800","18316","2779","1788","13749"
"gin","v1.9.1","4ea0e648e38a63d6caff14100f5eab5c50912bcd","2023-06-01 10:26:20 +0800","18325","2784","1754","13787"
"gin","v1.10.0","75ccf94d605a05fe24817fc2f166f6f2959d5cea","2024-05-07 11:23:42 +0800","19149","2916","1793","14440"
"gin","v1.10.1","b5af7796535d97d9c7af42539af01d787fcb3b4d","2025-05-20 17:33:47 +0800","19160","2917","1793","14450"
"gin","v1.11.0","6ad6205e9c94a4b8a320219e28c37c29d22a7a2c","2025-09-20 19:38:42 +0800","21590","3282","1928","16380"
"gin","v1.12.0","73726dc606796a025971fe451f0aa6f1b9b847f6","2026-02-28 18:10:09 +0800","23672","3617","2081","17974"
"junit5","r6.0.0","4f7959463a5bc1fc6a1150aefcbf1ff42927a18e","2025-09-30 09:57:55 +0200","217780","33428","51647","132705"
"junit5","r5.14.1","c7cde2d0667ee93f5079e75d6661585533cf424b","2025-10-31 15:28:03 +0100","218157","33536","51831","132790"
"junit5","r6.0.1","d774b9ccc8550701fd6362c43f92611911da3e2b","2025-10-31 18:42:12 +0100","218276","33450","51909","132917"
"junit5","r5.14.2","538370c5ca7c8462f00a5221fa3f3c23078d60ac","2026-01-06 16:05:43 +0100","217950","33555","51780","132615"
"junit5","r6.0.2","c5c5de517ebf170bbf7b90d184e833ea17f787b7","2026-01-06 16:55:11 +0100","219254","33663","52509","133082"
"junit5","r5.14.3","1c14c1b83fcdd6091593cd4869f7ce82754f54d0","2026-02-15 13:48:39 +0100","217954","33555","51780","132619"
"junit5","r6.0.3","36e3253b726fa13cb9a1d29e94b9119575078c4a","2026-02-15 14:32:19 +0100","219360","33677","52533","133150"
"junit5","r5.14.4","096fd696c1b22780e025a02417d42903e0022862","2026-04-26 13:22:03 +0200","218035","33566","51780","132689"
"prettier","3.7.1","47c40b3024e047e68025281bae3d5d08d7a98ed5","2025-11-27 19:30:09 +0800","142163","16865","12630","112668"
"prettier","3.7.2","03384c964d99ef26cb1a7fec68e7e5e263220cea","2025-11-29 04:56:32 +0800","142376","16891","12656","112829"
"prettier","3.7.3","fdfa6701767f5140a85902ecc9fb6444f5b4e3f8","2025-11-30 01:52:37 +0800","142422","16893","12692","112837"
"prettier","3.7.4","7848357af654883e21ed05c0bbbedf89ee88750e","2025-12-03 12:33:49 +0800","142857","16961","12737","113159"
"prettier","3.8.0","812a4d0071270f61a7aa549d625b618be7e09d71","2026-01-15 07:54:42 +0800","142883","16964","12740","113179"
"prettier","3.8.1","90983f40dce5e20beea4e5618b5e0426a6a7f4f0","2026-01-22 01:43:10 +0800","142887","16965","12740","113182"
"prettier","3.8.2","b31557cf331a02acf83e7e29d1001b070189a0d9","2026-04-10 10:28:08 +0800","142919","16969","12741","113209"
"prettier","3.8.3","d7108a79ec745c04292aabf22c4c1adbd690b191","2026-04-15 08:53:51 +0800","142931","16971","12743","113217"
"requests","v2.30.0","2ad18e0e10e7d7ecd5384c378f25ec8821a10a29","2023-05-03 09:42:03 -0600","10729","2003","762","7964"
"requests","v2.31.0","147c8511ddbfa5e8f71bbf5c18ede0c4ceb3bba4","2023-05-22 09:24:03 -0600","10751","2006","764","7981"
"requests","v2.32.0","d6ebc4a2f1f68b7e355fb7e4dd5ffc0845547f9f","2024-05-20 08:48:32 -0700","11106","2034","783","8289"
"requests","v2.32.1","970e8cec988421bd43da57350723b05c8ce8dc7e","2024-05-20 15:09:05 -0700","11106","2034","783","8289"
"requests","v2.32.2","88dce9d854797c05d0ff296b70e0430535ef8aaf","2024-05-21 11:49:58 -0700","11131","2036","780","8315"
"requests","v2.32.3","0e322af87745eff34caffe4df68456ebc20d9068","2024-05-29 08:37:57 -0700","11209","2046","784","8379"
"requests","v2.32.4","021dc729f0b71a3030cefdbec7fb57a0e80a6cfd","2025-06-09 11:40:33 -0500","11271","2055","791","8425"
"requests","v2.32.5","b25c87d7cb8d6a18a37fa12442b5f883f9e41741","2025-08-18 13:23:20 -0700","11248","2053","783","8412"
"tokio","tokio-1.47.3","f320197693ee09e28f1fca0e55418081adcdfc25","2026-01-02 21:07:41 +0100","159421","19572","53630","86219"
"tokio","tokio-1.49.0","e3b89bbefa7564e2eba2fb9f849ef7bf87d60fad","2026-01-03 10:58:44 +0100","168480","20796","55480","92204"
"tokio","tokio-1.50.0","0273e45ead199dac7725faee1e3dc35a9c8753ab","2026-03-03 10:39:42 +0100","170040","20978","55971","93091"
"tokio","tokio-1.47.4","aa65d0d0b8ea6eec80985b9d231390f137493071","2026-04-02 14:12:06 +0200","159441","19580","53626","86235"
"tokio","tokio-1.51.0","0af06b7bab12c58161b1d0ae79bdf4452305d42f","2026-04-03 10:42:05 +0200","171507","21181","56271","94055"
"tokio","tokio-1.51.1","98df02d7a4a638b3bc76a01f41966dc83c275103","2026-04-08 12:37:44 +0200","171911","21244","56335","94332"
"tokio","tokio-1.52.0","5f7be0ac42cb3e1b739da1562f98a797cd55a606","2026-04-14 11:56:01 -0700","173646","21447","56814","95385"
"tokio","tokio-1.52.1","905c146aeda741ea2202f942a7c3a606dda13da5","2026-04-16 21:28:05 +0000","173434","21427","56750","95257"
"urllib3","2.2.3","2458bfcd3dacdf6c196e98d077fc6bb02a5fc1df","2024-09-12 14:40:15 +0400","30310","5056","1560","23694"
"urllib3","2.3.0","2f68c5363ef632d73dd4d9300289d7ce5ff275b4","2024-12-22 11:34:56 +0400","31125","5196","1600","24329"
"urllib3","2.4.0","a5ff7ac3bbb8659e2ec3ed41dd43889f06a7d7bc","2025-04-10 17:57:55 +0300","31264","5214","1618","24432"
"urllib3","2.5.0","aaab4eccc10c965897540b21e15f11859d0b62e7","2025-06-18 16:56:48 +0300","31661","5268","1659","24734"
"urllib3","2.6.0","720f484b605f18887a48eef448d0084e2b76902d","2025-12-05 17:04:36 +0200","32200","5317","1724","25159"
"urllib3","2.6.1","bfe8e198a13800e3ee8ef8124a8928acb170c843","2025-12-08 17:06:11 +0200","32212","5320","1725","25167"
"urllib3","2.6.2","83f8643ffb5b7f197457379148e2fa118ab0fcdc","2025-12-11 17:45:04 +0200","32257","5321","1730","25206"
"urllib3","2.6.3","0248277dd7ac0239204889ca991353ad3e3a1ddc","2026-01-07 18:19:16 +0200","32324","5328","1736","25260"
